Event ID, KP, Start, Stop
2013E01 7 5/31/2013 15:00 6/1/2013 15:00
2013E02 8 10/2/2013 00:00 10/3/2013 03:00
2015E01 8 3/17/2015 03:00 3/18/2015 06:00
2015E02 8 6/22/2015 03:00 6/23/2015 15:00
2015E03 7 9/11/2015 03:00 9/11/2015 18:00
2015E04 7 9/19/2015 18:00 9/20/2015 18:00
2015E05 7 10/6/2015 18:00 10/9/2015 09:00
2015E06 7 12/20/2015 03:00 12/21/2015 09:00
2017E01 7 5/27/2017 15:00 5/28/2017 15:00
2017E02 8 9/7/2017 21:00 9/9/2017 03:00
2017E03 7 9/27/2017 15:00 9/29/2017 00:00
2018E01 7 8/25/2018 18:00 8/27/2018 00:00
2021E01 7 5/12/2021 00:00 5/13/2021 12:00
2021E02 8 11/3/2021 15:00 11/4/2021 23:59
2022E01 7 4/9/2022 00:00 4/10/2022 23:59
2023E01 7 2/26/2023 12:00 2/28/2023 23:59
2023E02 8 3/23/2023 00:00 3/24/2023 23:59
2023E03 8 4/23/2023 00:00 4/24/2023 23:59
2023E04 7 12/1/2023 00:00 12/2/2023 23:59
2024E01 8 3/23/2024 00:00 3/25/2024 23:59
2024E02 7 4/19/2024 00:00 4/19/2024 23:59
2024E03 7 5/2/2024 00:00 5/2/2024 23:59
2024E04 9 5/10/2024 00:00 5/12/2024 23:59
2024E05 8 6/28/2024 00:00 6/28/2024 23:59
2024E06 7 8/4/2024 00:00 8/4/2024 23:59
2024E07 8 8/11/2024 00:00 8/13/2024 23:59
2024E08 7 9/12/2024 00:00 9/12/2024 23:59
2024E09 7 9/16/2024 00:00 9/17/2024 23:59
2024E10 7 10/7/2024 00:00 10/8/2024 23:59
2024E11 9 10/10/2024 00:00 10/11/2024 23:59
2024E12 8 12/31/2024 00:00 1/1/2025 23:59
2025E01 8 4/15/2025 00:00 4/17/2025 23:59
2025E02 8 6/1/2025 00:00 6/3/2025 23:59
